VendorID,tpep_pickup_datetime,tpep_dropoff_datetime,passenger_count,trip_distance,RatecodeID,store_and_fwd_flag,PULocationID,DOLocationID,payment_type,fare_amount,extra,mta_tax,tip_amount,tolls_amount,improvement_surcharge,total_amount,congestion_surcharge,airport_fee,pickup_X,pickup_Y,pickup_borough,location_i_pickup,objectid_pickup,pickup_shape_area,shape_leng_pickup,pickup_zone,X,Y,borough,location_i_dropoff,objectid_dropoff,shape_area,shape_leng_dropoff,zone
1,11/1/2022 0:59,11/1/2022 1:06,3,1.1,1,N,79,249,1,7,3,0.5,2.15,0,0.3,12.95,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village
1,11/1/2022 0:20,11/1/2022 0:30,1,1.8,1,N,141,163,2,8,3,0.5,0,0,0.3,11.8,2.5,0,-73.95971268,40.76683877,Manhattan,141,141,7.66545579019e-05,0.041514464,Lenox Hill West,-73.9783669,40.7644253,Manhattan,163,163,4.08567804196e-05,0.034176867,Midtown North
1,11/1/2022 0:35,11/1/2022 0:47,1,2.3,1,N,48,238,1,9.5,3,0.5,0,0,0.3,13.3,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.97281448,40.79176595,Manhattan,238,238,0.000184764,0.060109311,Upper West Side North
2,11/1/2022 0:20,11/1/2022 0:31,1,1.81,1,N,79,232,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.98230749,40.71538428,Manhattan,232,232,0.00021605,0.061470909,Two Bridges/Seward Park
2,11/1/2022 0:40,11/1/2022 0:45,1,1.57,1,N,79,137,1,6.5,0.5,0.5,2.06,0,0.3,12.36,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.97712049,40.74035752,Manhattan,137,137,0.000116455,0.046107624,Kips Bay
1,11/1/2022 0:15,11/1/2022 0:35,1,5,1,N,249,262,2,17,3,0.5,0,0,0.3,20.8,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.94582992,40.77653654,Manhattan,262,262,0.00012233,0.049063623,Yorkville East
1,11/1/2022 0:47,11/1/2022 1:11,1,9.4,1,N,79,95,1,29,3,0.5,6.55,0,0.3,39.35,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.84822805,40.72347879,Queens,95,95,0.00057277,0.113629605,Forest Hills
2,11/1/2022 0:20,11/1/2022 0:27,1,1.07,1,N,234,100,2,6.5,0.5,0.5,0,0,0.3,10.3,2.5,0,-73.99047762,40.74031339,Manhattan,234,234,7.31054382894e-05,0.036072199,Union Sq,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District
2,11/1/2022 0:28,11/1/2022 0:37,1,2.22,1,N,100,249,1,8.5,0.5,0.5,3.08,0,0.3,15.38,2.5,0,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village
2,11/1/2022 0:44,11/1/2022 0:57,1,2.6,1,N,249,233,1,11.5,0.5,0.5,3.06,0,0.3,18.36,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.97125455,40.74917369,Manhattan,233,233,0.000116188,0.048035918,UN/Turtle Bay South
1,11/1/2022 0:18,11/1/2022 0:32,1,2.9,1,N,230,236,2,12.5,3,0.5,0,0,0.3,16.3,2.5,0,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District,-73.95697238,40.78049139,Manhattan,236,236,0.000102864,0.044251922,Upper East Side North
2,11/1/2022 0:51,11/1/2022 1:04,1,1.97,1,N,170,4,2,10.5,0.5,0.5,0,0,0.3,14.3,2.5,0,-73.97694274,40.74765443,Manhattan,170,170,7.43150675972e-05,0.045769009,Murray Hill,-73.97702385,40.72415082,Manhattan,4,4,0.000111872,0.043566527,Alphabet City
1,11/1/2022 0:04,11/1/2022 0:31,1,15.9,1,N,132,112,1,43.5,0.5,0.5,8.95,0,0.3,53.75,0,0,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.94848138,40.72883018,Brooklyn,112,112,0.000462069,0.107267876,Greenpoint
2,11/1/2022 0:03,11/1/2022 0:19,1,2.84,1,N,161,158,1,12.5,0.5,0.5,3.26,0,0.3,19.56,2.5,0,-73.97743184,40.7582264,Manhattan,161,161,7.19130682992e-05,0.03580391,Midtown Center,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West
2,11/1/2022 0:22,11/1/2022 0:29,1,1.1,1,N,158,90,1,6.5,0.5,0.5,3.09,0,0.3,13.39,2.5,0,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West,-73.99677701,40.74254679,Manhattan,90,90,5.53132476305e-05,0.030759162,Flatiron
2,11/1/2022 0:37,11/1/2022 0:50,1,1.5,1,N,158,79,2,9.5,0.5,0.5,0,0,0.3,13.3,2.5,0,-74.00838576,40.73524802,Manhattan,158,158,0.000185568,0.054809991,Meatpacking/West Village West,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village
1,11/1/2022 0:23,11/1/2022 0:30,1,2.7,1,N,132,10,1,9,1.75,0.5,2.9,0,0.3,14.45,0,1.25,-73.77834068,40.64268311,Queens,132,132,0.002038301,0.245478517,JFK Airport,-73.79165486,40.67810188,Queens,10,10,0.000435824,0.099839479,Baisley Park
1,11/1/2022 0:21,11/1/2022 0:34,1,2.4,1,N,107,230,1,11,3,0.5,0,0,0.3,14.8,2.5,0,-73.98331041,40.7373483,Manhattan,107,107,7.46112192675e-05,0.038041365,Gramercy,-73.98417616,40.75984468,Manhattan,230,230,5.60914463266e-05,0.03102831,Times Sq/Theatre District
1,11/1/2022 0:42,11/1/2022 0:54,2,2.7,1,N,249,163,2,11,3,0.5,0,0,0.3,14.8,2.5,0,-74.00249691,40.73461128,Manhattan,249,249,7.22155957729e-05,0.036384344,West Village,-73.9783669,40.7644253,Manhattan,163,163,4.08567804196e-05,0.034176867,Midtown North
2,11/1/2022 0:02,11/1/2022 0:12,1,4.01,1,N,79,236,2,12.5,0.5,0.5,0,0,0.3,16.3,2.5,0,-73.98521394,40.72794396,Manhattan,79,79,0.000107893,0.042624911,East Village,-73.95697238,40.78049139,Manhattan,236,236,0.000102864,0.044251922,Upper East Side North
2,11/1/2022 0:15,11/1/2022 0:24,1,2.06,1,N,237,238,1,9,0.5,0.5,2.56,0,0.3,15.36,2.5,0,-73.96569149,40.76854181,Manhattan,237,237,9.59873206621e-05,0.0422126,Upper East Side South,-73.97281448,40.79176595,Manhattan,238,238,0.000184764,0.060109311,Upper West Side North
2,11/1/2022 0:14,11/1/2022 0:28,5,3.7,1,N,48,41,1,14.5,0.5,0.5,2,0,0.3,20.3,2.5,0,-73.98985665,40.76223669,Manhattan,48,48,9.42538425377e-05,0.043746744,Clinton East,-73.95206437,40.80420432,Manhattan,41,41,0.000143093,0.052793109,Central Harlem
2,11/1/2022 0:13,11/1/2022 0:26,2,1.94,1,N,163,100,2,10,0.5,0.5,0,0,0.3,13.8,2.5,0,-73.9783669,40.7644253,Manhattan,163,163,4.08567804196e-05,0.034176867,Midtown North,-73.9887859,40.75351403,Manhattan,100,100,3.74700210291e-05,0.024813109,Garment District
